City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Morro Bay,US,57.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
373,Randolph,US,44.6,overcast clouds,35.7001,-79.8164,Hampton Inn Asheboro
374,Ngunguru,NZ,68.76,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
375,Uyuni,BO,55.35,broken clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
377,Kandry,RU,34.12,overcast clouds,54.5667,54.1167,Prometey Ooo Oao Stroneg
381,Zaoyang,CN,47.01,clear sky,32.1272,112.7542,Shanghai Hotel
382,Port Augusta,AU,68.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
383,Valparaiso,CL,63.0,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
385,Serowe,BW,67.82,light rain,-22.3833,26.7167,Hill View Inn
389,Mutare,ZW,65.43,scattered clouds,-18.9707,32.6709,Ann Bruce Backpackers
393,Faya,SA,59.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
395,Ponta Delgada,PT,55.0,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
399,Saldanha,ZA,60.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
401,Thunder Bay,CA,27.0,light snow,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
402,Bonavista,CA,39.2,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
406,Drumheller,CA,21.2,overcast clouds,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
407,Uetendorf,CH,42.01,scattered clouds,46.7739,7.5725,Rössli
408,Pingliang,CN,34.7,clear sky,35.5392,106.6861,North Gate Hostel
411,Zhengjiatun,CN,18.28,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
412,Ahrensburg,DE,33.8,broken clouds,53.6833,10.25,Hotel Am Schloss Ahrensburg
414,Tarut,SA,60.8,fog,26.5733,50.0369,مؤسسة مقاولات عامة
419,Praia Da Vitoria,PT,52.0,broken clouds,38.7333,-27.0667,Hotel Branco I
422,Rybnaya Sloboda,RU,33.8,light snow,55.4613,50.1409,Гостиница Аяз
423,Havelock,US,46.0,clear sky,34.8791,-76.9013,Sherwood Motel
424,Murray Bridge,AU,63.0,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
425,Morris,US,32.0,clear sky,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
427,Santa Maria Del Oro,MX,69.66,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
429,Krasnoshchekovo,RU,24.3,overcast clouds,51.6708,82.7289,Viro гостиница
430,Ruidoso,US,44.6,clear sky,33.3317,-105.67299999999999,Inn of the Mountain Gods
433,Nynashamn,SE,15.01,broken clouds,58.9034,17.9479,Nynäs Havsbad
434,Shelburne,CA,28.99,clear sky,44.0787,-80.2041,The Retreat at the Farm
436,Scarborough,GB,42.01,overcast clouds,54.2797,-0.4044,Ambassador
438,Peachland,CA,39.2,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
441,Ribeira Grande,PT,55.49,broken clouds,38.5167,-28.7,Quinta da Meia Eira
442,Lebu,CL,61.68,clear sky,-37.6167,-73.65,Hostal Las Lilas
443,Virginia Beach,US,42.01,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
446,Joshimath,IN,34.23,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
448,Loding,NO,23.0,broken clouds,67.3,14.75,Arctic Kramer
449,Astoria,US,48.99,mist,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
455,Mwense,ZM,68.05,overcast clouds,-10.3845,28.698,Mwense Council Guest House
460,Thurso,GB,35.6,broken clouds,58.5927,-3.5259,Weigh Inn Hotel
461,Pacific Grove,US,55.99,clear sky,36.6177,-121.9166,Lovers Point Inn
462,Rancho Palos Verdes,US,57.99,clear sky,33.7445,-118.387,Terranea Resort
464,Maniitsoq,GL,12.74,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
466,Northam,GB,43.0,few clouds,51.0333,-4.2167,Durrant House Hotel
469,Korla,CN,23.83,scattered clouds,41.7597,86.1469,Gulisitan Hotel
470,Jumla,NP,33.06,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
473,Hammerfest,NO,30.2,light snow,70.6634,23.6821,Skytterhuset
476,Fukue,JP,50.0,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
477,Aberdeen,GB,37.99,moderate rain,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
482,Artigas,UY,65.79,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
483,Doha,QA,64.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
484,Mujiayingzi,CN,23.49,few clouds,42.1167,118.7833,Jinjiang Hotel
